ID	pub	nana	pend	Latitude	Longitude	distance	Pop
121	0.9006	0.0372	0.0622	58.8919	-3.383755	0	Pop11
122	0.9601	0.0242	0.0157	58.8919	-3.383755	0	Pop11
123	0.984	0.01	0.006	58.8919	-3.383755	0	Pop11
124	0.987	0.007	0.006	58.8919	-3.383755	0	Pop11
125	0.9763	0.0207	0.003	58.8919	-3.383755	0	Pop11
126	0.987	0.007	0.006	58.8919	-3.383755	0	Pop11
127	0.937	0.0577	0.0053	58.8919	-3.383755	0	Pop11
128	0.8233	0.1717	0.005	58.8919	-3.383755	0	Pop11
129	0.9937	0.0033	0.003	58.8919	-3.383755	0	Pop11
130	0.9369	0.0578	0.0053	58.8919	-3.383755	0	Pop11
131	0.9898	0.0042	0.006	58.8919	-3.383755	0	Pop11
132	0.9899	0.0051	0.005	58.8919	-3.383755	0	Pop11
133	0.937	0.0577	0.0053	58.8919	-3.383755	0	Pop11
134	0.9819	0.0121	0.006	58.8919	-3.383755	0	Pop11
135	0.9371	0.0578	0.0051	58.8919	-3.383755	0	Pop11
136	0.9867	0.0073	0.006	58.8919	-3.383755	0	Pop11
137	0.9372	0.0577	0.0051	58.8919	-3.383755	0	Pop11
138	0.6211	0.3737	0.0052	58.8919	-3.383755	0	Pop11
139	0.9168	0.022	0.0612	58.8919	-3.383755	0	Pop11
140	0.985	0.01	0.005	58.8919	-3.383755	0	Pop11
141	0.8231	0.1719	0.005	58.8919	-3.383755	0	Pop11
142	0.8241	0.1709	0.005	58.8919	-3.383755	0	Pop11
143	0.937	0.0577	0.0053	58.8919	-3.383755	0	Pop11
144	0.9891	0.002	0.0089	58.528058	-4.20936	7.66	Pop12
145	0.9842	0.0077	0.0081	58.5277	-4.209666	7.66	Pop12
146	0.9454	0.004	0.0506	58.5277	-4.209666	7.66	Pop12
147	0.9889	0.002	0.0091	58.5277	-4.209666	7.66	Pop12
148	0.9848	0.0031	0.0121	58.5277	-4.209666	7.66	Pop12
149	0.972	0.0061	0.0219	58.5277	-4.209666	7.66	Pop12
150	0.9901	0.0049	0.005	58.5277	-4.209666	7.66	Pop12
151	0.951	0.0344	0.0146	58.500686	-4.374823	6.33	Pop13
152	0.9811	0.008	0.0109	58.485084	-4.660512	17.23	Pop14
153	0.9595	0.0335	0.007	58.485084	-4.660512	17.23	Pop14
154	0.9877	0.006	0.0063	58.485084	-4.660512	17.23	Pop14
155	0.992	0.002	0.006	58.485084	-4.660512	17.23	Pop14
156	0.9887	0.0061	0.0052	58.485084	-4.660512	17.23	Pop14
157	0.9764	0.0033	0.0203	58.485084	-4.660512	17.23	Pop14
158	0.991	0.003	0.006	58.485084	-4.660512	17.23	Pop14
159	0.9911	0.004	0.0049	58.485084	-4.660512	17.23	Pop14
